Service;TotalClasses;OK_Count;WATCH_Count;REFACTOR_Count;OK_Ratio;REFACTOR_Ratio
AuthServer;21;10;8;3;0.47619047619047616;0.14285714285714285
DiscountService;29;9;12;8;0.3103448275862069;0.27586206896551724
NotificationService;13;7;4;2;0.5384615384615384;0.15384615384615385
OrderService;44;18;21;5;0.4090909090909091;0.11363636363636363
ReviewService;6;4;0;2;0.6666666666666666;0.3333333333333333
Shared;150;88;25;37;0.5866666666666667;0.24666666666666667
WebApi;16;3;4;9;0.1875;0.5625
